Name,Description,Easting,Northing,UTM zone,UTM coordinates
KAST,,381394,5811774,32U,32U 381394 5811774
KASTKAPOT,,381346,5811879,32U,32U 381346 5811879
106,,380589,5812931,32U,32U 380589 5812931
KASTM,,381974,5812664,32U,32U 381974 5812664
KASTM,,381412,5811689,32U,32U 381412 5811689
KASTM,,381441,5811627,32U,32U 381441 5811627
KASTM,,381444,5811599,32U,32U 381444 5811599
M,,381386,5812629,32U,32U 381386 5812629
N,,381391,5812782,32U,32U 381391 5812782
OOH,,381393,5812964,32U,32U 381393 5812964
Q1,,381752,5813252,32U,32U 381752 5813252
Q,,381742,5813251,32U,32U 381742 5813251
R1,,381744,5813346,32U,32U 381744 5813346
RA,,381745,5813282,32U,32U 381745 5813282
R,,381751,5813289,32U,32U 381751 5813289
S,,381751,5813413,32U,32U 381751 5813413
S1,,381754,5813446,32U,32U 381754 5813446
SB,,381752,5813380,32U,32U 381752 5813380
SH1,,380625,5811294,32U,32U 380625 5811294
SH2,,380627,5811297,32U,32U 380627 5811297
SH3,,380631,5811297,32U,32U 380631 5811297
T,,381752,5813485,32U,32U 381752 5813485
U1,,381754,5813621,32U,32U 381754 5813621
U2,,381752,5813678,32U,32U 381752 5813678
U3,,381751,5813727,32U,32U 381751 5813727
U,,381753,5813573,32U,32U 381753 5813573
V,,381757,5813139,32U,32U 381757 5813139
W,,381751,5812995,32U,32U 381751 5812995
X,,381752,5812860,32U,32U 381752 5812860
X1,,381754,5812884,32U,32U 381754 5812884
Y,,381746,5812783,32U,32U 381746 5812783
Z,,381746,5812731,32U,32U 381746 5812731
ZA,,381756,5812723,32U,32U 381756 5812723
324,,381733,5812097,32U,32U 381733 5812097
ENTER,,381207,5812219,32U,32U 381207 5812219
422,,380679,5812375,32U,32U 380679 5812375
423,,380676,5812390,32U,32U 380676 5812390
424,,380680,5812422,32U,32U 380680 5812422
425,,380676,5812439,32U,32U 380676 5812439
426,,380673,5812461,32U,32U 380673 5812461
428,,380678,5812497,32U,32U 380678 5812497
429,,380678,5812520,32U,32U 380678 5812520
430,,380675,5812606,32U,32U 380675 5812606
431,,380675,5812660,32U,32U 380675 5812660
100,,380672,5812924,32U,32U 380672 5812924
100C,,380666,5812908,32U,32U 380666 5812908
80,,380711,5812957,32U,32U 380711 5812957
110,,380715,5812945,32U,32U 380715 5812945
108,,380585,5812961,32U,32U 380585 5812961
207,,380375,5813040,32U,32U 380375 5813040
208,,380392,5813038,32U,32U 380392 5813038
209,,380407,5813044,32U,32U 380407 5813044
210,,380427,5813049,32U,32U 380427 5813049
211,,380440,5813056,32U,32U 380440 5813056
212,,380468,5813071,32U,32U 380468 5813071
213,,380484,5813073,32U,32U 380484 5813073
214,,380498,5813084,32U,32U 380498 5813084
215,,380523,5813103,32U,32U 380523 5813103
201A,,380508,5812548,32U,32U 380508 5812548
202A,,380543,5812480,32U,32U 380543 5812480
203A,,380564,5812440,32U,32U 380564 5812440
204A,,380567,5812416,32U,32U 380567 5812416
957C,,380668,5812280,32U,32U 380668 5812280
427,,380671,5812481,32U,32U 380671 5812481
